                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.2521,                 1.0451,                 1.1151,                0.30859,                0.57692,                0.34863,                0.21013,                 1.3959,                 1.5148,                 1.2547,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.2247,                  1.023,                 1.1262,                0.34301,                0.45313,                0.33975,                0.21107,                 1.3886,                 1.3837,                 1.2347,             0.00099425,             0.00099425,             0.00099425
                     65,                 1.2285,                  1.019,                 1.1104,                0.37282,                 0.4302,                0.37187,                0.22731,                 1.3775,                 1.2844,                 1.2204,             0.00099013,             0.00099013,             0.00099013
                     66,                 1.2306,                 1.0277,                 1.1034,                0.31659,                0.51746,                0.37569,                0.22749,                 1.3787,                 1.3158,                 1.2354,               0.000986,               0.000986,               0.000986
                     67,                 1.2247,                  1.017,                   1.11,                0.37889,                0.45859,                0.39137,                0.23899,                 1.3798,                 1.2931,                 1.2391,             0.00098187,             0.00098187,             0.00098187
                     68,                 1.2354,                 1.0256,                 1.1121,                0.37941,                0.46375,                0.40288,                0.24121,                 1.4126,                 1.2632,                 1.2543,             0.00097775,             0.00097775,             0.00097775
                     69,                 1.2466,                 1.0128,                 1.1165,                 0.3744,                0.37807,                0.35309,                0.20599,                 1.3761,                 1.3368,                 1.2348,             0.00097362,             0.00097362,             0.00097362
                     70,                 1.2253,                 1.0048,                 1.1057,                0.38046,                0.54526,                0.40553,                0.24535,                 1.3852,                 1.2117,                 1.2494,              0.0009695,              0.0009695,              0.0009695
                     71,                  1.242,                 1.0021,                 1.1155,                 0.4356,                0.43189,                0.37673,                 0.2251,                 1.3969,                 1.2895,                 1.2664,             0.00096537,             0.00096537,             0.00096537
                     72,                 1.2062,                 0.9642,                 1.0982,                0.34856,                 0.4756,                0.37388,                0.21885,                 1.3755,                 1.2842,                 1.2279,             0.00096125,             0.00096125,             0.00096125
                     73,                 1.2252,                 1.0035,                 1.1127,                0.44248,                0.48447,                0.41082,                0.24039,                 1.4066,                 1.2648,                 1.2453,             0.00095712,             0.00095712,             0.00095712
                     74,                 1.1823,                0.93994,                 1.0863,                0.36404,                0.48957,                0.38807,                0.23557,                 1.3853,                  1.262,                 1.2285,               0.000953,               0.000953,               0.000953
                     75,                 1.2008,                0.95572,                 1.0967,                0.34854,                0.47953,                0.38792,                0.23365,                 1.3814,                 1.2877,                 1.2371,             0.00094887,             0.00094887,             0.00094887
                     76,                 1.2032,                0.95049,                 1.1036,                0.39353,                0.45716,                0.40136,                 0.2438,                 1.3589,                 1.2259,                 1.2386,             0.00094475,             0.00094475,             0.00094475
                     77,                 1.1691,                0.93998,                 1.0877,                0.46573,                0.41808,                  0.423,                0.25581,                 1.3858,                  1.241,                  1.246,             0.00094062,             0.00094062,             0.00094062
                     78,                 1.1967,                 0.9482,                  1.095,                 0.4539,                0.44436,                0.42942,                0.25327,                 1.4118,                 1.2188,                 1.2328,              0.0009365,              0.0009365,              0.0009365
                     79,                 1.1994,                  0.962,                 1.0931,                0.40013,                0.46761,                0.38506,                0.22451,                 1.4028,                 1.2946,                 1.2425,             0.00093238,             0.00093238,             0.00093238
                     80,                 1.1882,                0.94942,                 1.0872,                   0.38,                0.49963,                0.39255,                0.23846,                 1.3746,                 1.3014,                 1.2291,             0.00092825,             0.00092825,             0.00092825
                     81,                 1.1948,                0.90999,                 1.0877,                0.38148,                0.51291,                 0.3877,                0.23723,                 1.4554,                 1.3133,                 1.2489,             0.00092413,             0.00092413,             0.00092413
                     82,                 1.2175,                0.98384,                 1.1029,                0.35974,                0.43349,                0.36384,                0.20888,                 1.3854,                 1.3631,                 1.2342,                0.00092,                0.00092,                0.00092
