                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  1.129,                 0.9444,                 1.0665,                0.41546,                 0.4772,                0.41892,                0.25825,                 1.2479,                 1.1835,                 1.1752,             0.00092825,             0.00092825,             0.00092825
                     81,                 1.1519,                0.98627,                 1.0564,                 0.3761,                 0.5076,                0.39951,                0.24452,                  1.249,                 1.2976,                 1.1569,             0.00092413,             0.00092413,             0.00092413
                     82,                 1.1382,                0.92908,                 1.0571,                0.41916,                0.51686,                0.44619,                0.26952,                  1.262,                 1.1721,                  1.169,                0.00092,                0.00092,                0.00092
                     83,                 1.1327,                0.94751,                 1.0636,                0.51591,                0.49634,                0.46831,                0.28733,                 1.2303,                 1.1676,                 1.1419,             0.00091588,             0.00091588,             0.00091588
                     84,                 1.1234,                0.95271,                 1.0461,                0.49134,                0.44747,                0.44354,                0.26109,                 1.2907,                 1.2348,                 1.2036,             0.00091175,             0.00091175,             0.00091175
                     85,                 1.1505,                0.95181,                 1.0697,                0.52354,                0.46511,                0.46042,                  0.282,                 1.2475,                 1.1538,                  1.162,             0.00090763,             0.00090763,             0.00090763
                     86,                 1.1046,                0.91761,                 1.0546,                0.44468,                0.48838,                0.44794,                 0.2741,                 1.2331,                 1.1928,                 1.1648,              0.0009035,              0.0009035,              0.0009035
                     87,                 1.1143,                 0.9029,                  1.052,                0.44053,                0.45886,                0.43273,                0.26803,                 1.2371,                 1.1876,                 1.1591,             0.00089938,             0.00089938,             0.00089938
                     88,                 1.1126,                 0.9195,                 1.0518,                0.43333,                0.44926,                0.41691,                0.24852,                 1.2953,                 1.2005,                 1.1942,             0.00089525,             0.00089525,             0.00089525
                     89,                 1.1315,                0.91863,                 1.0602,                0.42816,                0.45671,                0.43577,                0.26306,                 1.2775,                 1.2188,                  1.185,             0.00089112,             0.00089112,             0.00089112
                     90,                 1.1336,                0.94373,                 1.0543,                 0.4464,                0.51785,                0.45715,                0.27794,                 1.2626,                 1.1781,                 1.1752,               0.000887,               0.000887,               0.000887
                     91,                 1.1098,                0.92003,                 1.0533,                0.41671,                 0.4813,                0.42394,                0.26389,                 1.2448,                 1.2181,                 1.1582,             0.00088288,             0.00088288,             0.00088288
                     92,                 1.1091,                0.89914,                  1.042,                0.43674,                0.45343,                0.43742,                0.27391,                 1.2249,                 1.2213,                 1.1467,             0.00087875,             0.00087875,             0.00087875
                     93,                 1.1133,                0.91078,                 1.0543,                0.43247,                0.51513,                0.44786,                0.27731,                 1.2587,                 1.1657,                 1.1631,             0.00087462,             0.00087462,             0.00087462
                     94,                  1.104,                0.89816,                 1.0487,                0.48677,                0.41187,                0.42818,                0.26509,                 1.2629,                 1.1881,                 1.1722,              0.0008705,              0.0008705,              0.0008705
                     95,                 1.0899,                0.87468,                 1.0404,                0.46369,                0.46166,                0.43087,                0.26693,                 1.2733,                 1.2046,                 1.1764,             0.00086637,             0.00086637,             0.00086637
                     96,                 1.1025,                0.90212,                 1.0512,                0.44367,                0.50399,                0.45611,                 0.2868,                 1.2279,                 1.1493,                 1.1622,             0.00086225,             0.00086225,             0.00086225
                     97,                 1.1007,                0.87763,                 1.0404,                 0.4638,                0.44988,                0.44423,                0.27255,                 1.2279,                 1.1762,                 1.1687,             0.00085813,             0.00085813,             0.00085813
                     98,                 1.0985,                0.88021,                 1.0456,                0.38497,                0.54206,                0.40862,                0.25444,                 1.2403,                  1.272,                 1.1694,               0.000854,               0.000854,               0.000854
                     99,                 1.1171,                0.88513,                 1.0466,                0.40537,                0.47609,                0.40935,                0.25759,                 1.2451,                 1.2769,                   1.19,             0.00084988,             0.00084988,             0.00084988
